"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","16","Update Exercise","tests.exercises","2026-08-30","passed","2026-08-30","TestExercises","test_exercises","",""
"","19","Update Exercise","tests.exercises","2026-08-30","passed","2026-08-30","TestExercises","test_exercises","",""
"","0","test_password_reset","tests.pytest","2026-08-30","passed","2026-08-30","TestUserAuthentication","test_pytest_markers","",""
"","31","Create File","tests.files","2026-08-30","passed","2026-08-30","TestFiles","test_files","",""
"","12","Get User me","tests.users","2026-08-30","passed","2026-08-30","TestUsers","test_users","",""
"","307","Create file with empty filename","tests.files","2026-08-30","passed","2026-08-30","TestFiles","test_files","",""
"","332","update course","tests.courses","2026-08-30","passed","2026-08-30","TestCourses","test_courses","",""
"","327","Create Exercise","tests.exercises","2026-08-30","passed","2026-08-30","TestExercises","test_exercises","",""
"","20","Update Exercise","tests.exercises","2026-08-30","passed","2026-08-30","TestExercises","test_exercises","",""
"","357","Delete File","tests.files","2026-08-30","passed","2026-08-30","TestFiles","test_files","",""
"","0","test_regression_case","tests.pytest","2026-08-30","passed","2026-08-30","","test_pytest_markers","",""
"","301","Get file with incorrect fileId","tests.files","2026-08-30","passed","2026-08-30","TestFiles","test_files","",""
"","30","Delete Exercise","tests.exercises","2026-08-30","passed","2026-08-30","TestExercises","test_exercises","",""
"","622","Logit with correct email and password","tests.authentication","2026-08-30","passed","2026-08-30","TestAuthentication","test_authentication","",""
"","0","test_login","tests.pytest","2026-08-30","passed","2026-08-30","TestUserAuthentication","test_pytest_markers","",""
"","19","Update Exercise","tests.exercises","2026-08-30","passed","2026-08-30","TestExercises","test_exercises","",""
"","355","create course","tests.courses","2026-08-30","passed","2026-08-30","TestCourses","test_courses","",""
"","326","Update Exercise","tests.exercises","2026-08-30","passed","2026-08-30","TestExercises","test_exercises","",""
"","332","get courses","tests.courses","2026-08-30","passed","2026-08-30","TestCourses","test_courses","",""
"","14","Get File","tests.files","2026-08-30","passed","2026-08-30","TestFiles","test_files","",""
"","322","Create User","tests.users","2026-08-30","passed","2026-08-30","TestUsers","test_users","",""
"","0","test_logout","tests.pytest","2026-08-30","passed","2026-08-30","TestUserAuthentication","test_pytest_markers","",""
"","28","Create file with empty directory","tests.files","2026-08-30","passed","2026-08-30","TestFiles","test_files","",""
"","16","Update Exercise","tests.exercises","2026-08-30","passed","2026-08-30","TestExercises","test_exercises","",""
"","324","Update Exercise","tests.exercises","2026-08-30","passed","2026-08-30","TestExercises","test_exercises","",""
"","319","Get Exercise","tests.exercises","2026-08-30","passed","2026-08-30","TestExercises","test_exercises","",""
